object_type,type,rooms,level,kitchen_area,living_area,area,price_by_meter,price,material,published,updated,build_year,build_serias,build_type,max_levels,min_levels,rubbish_chute,enterances,build_overlap,build_walls,heating,gas,longitude,latitude,agencyName,areaRating,city,remoute_from_center,build_oldest
0,Многоквартирный дом,2,5/5,6.0,26.0,44.0,1023.0,45000.0,Панель,31/10/2021,8/2/2022,1962,I-515,0,5,5,Нет,4,Железобетонные,Железобетон,Центральное,Да,37.457060999999996,55.782430000000005,Сермус Макс,3.8112602,Москва,10.50172545536455,old
0,Квартира,3,21/23,10.7,45.9,72.7,1785.0,129800.0,Монолит,7/2/2022,10/2/2022,0,0,0,0,0,0,0,0,0,0,0,37.474444,55.790712,ДОМ.РФ,3.8734415,Москва,9.838905120711253,new
0,Многоквартирный дом,3,15/17,12.8,45.0,85.5,936.0,80000.0,Панель,7/2/2022,8/2/2022,2003,П-44т,0,17,0,Есть,4,Железобетонные,Блочные,Центральное,Нет,37.494836,55.64643100000001,Агентство недвижимости АБ Риэлти,3.9993846,Москва,14.012257206682923,middle
0,Многоквартирный дом,1,3/5,6.0,17.0,30.0,1100.0,33000.0,Панель,10/2/2022,10/2/2022,1960,I-335,0,5,5,Нет,4,0,Не заполнено,0,0,37.761617,55.74548299999999,Елена,3.7237616,Москва,9.20252682614545,old
0,Многоквартирный дом,1,1/5,5.0,20.0,30.0,1333.0,40000.0,Панель,9/2/2022,10/2/2022,1967,I-515,0,5,0,0,6,Железобетонные,Панельные,Центральное,0,37.5189058998086,55.642824886924295,Анатолий,4.028662000000001,Москва,13.611765608622898,old
0,Многоквартирный дом,2,14/19,20.0,50.0,75.0,2000.0,150000.0,Монолит,7/2/2022,10/2/2022,2020,Индивидуальный,0,41,29,Есть,4,Железобетонные,Монолитные,Индивидуальный тепловой пункт (ИТП),Нет,37.508984000000005,55.762789,Capital Estate,3.8112602,Москва,6.793830591220799,new
0,Многоквартирный дом,1,6/16,6.0,,30.0,1167.0,35000.0,Блоки,26/8/2021,8/2/2022,1990,П-68,0,16,16,Есть,1,Железобетонные,Железобетон,Центральное,Нет,37.713674,55.877501,Галина,3.8427089999999997,Москва,15.24453766897841,old
0,Многоквартирный дом,3,7/8,8.0,54.0,72.0,1319.0,95000.0,Монолит,7/2/2022,10/2/2022,2005,индивидуальный проект,0,8,7,Есть,2,Железобетонные,Кирпич,Центральное,Нет,37.668704,55.779697,Общество с ограниченной ответственностью «НИКА ЭСТЭЙТ»,3.4504762,Москва,4.52619904185753,middle
0,Многоквартирный дом,1,5/12,9.0,20.0,37.0,730.0,27000.0,Панель,10/2/2022,10/2/2022,1976,П-68,0,12,12,Есть,3,Железобетонные,Блочные,Центральное,Да,37.835126,55.780421,"АН ""Dream-rent""",3.8995898,Москва,14.135008010567287,old
0,Многоквартирный дом,3,29/33,,,148.0,1115.0,165000.0,Монолит,18/5/2021,10/2/2022,2006,индивидуальный,0,32,32,Есть,1,Железобетонные,Монолитные,Центральное,Нет,37.534236,55.784333999999994,Trust Real Estate,4.127402,Москва,6.232056322700497,middle
0,Многоквартирный дом,1,5/9,,,33.0,1121.0,37000.0,Блоки,10/2/2022,10/2/2022,1962,II-18-01-МН,0,9,9,Есть,1,Железобетонные,Железобетон,Центральное,Да,37.571076,55.67150899999999,Этажи Москва,3.88875,Москва,9.411051335230589,old
